s_name	s_LMA	s_Nmass	s_Pmass	s_wsg	s_dbhmax	s_hmax	s_ah	s_seedmass	s_regionalfreq	s_DispSynd
Lecythis_persistens	123.4585502	0.018883223	0.0004985	0.6861994	0.3854	50.12	0.3035	2500	0.0217039	0
Lecythis_poiteaui	74.77844844	0.02759557	0.0005868	0.683735061	0.61247	51.01	0.2903	2500	0.0119857	0
Lecythis_zabucajo	80.31596379	0.023062611	0.0006548	0.682575	1.41312	55.38	0.2424	2500	0.0011338	0
Licania_alba	130.8152584	0.014112463	0.000392461	0.767863125	0.5662	48.18	0.3142	20000	0.0220279	0
Licania_canescens	99.22161497	0.020635076	0.000436648	0.7734	0.35462	46.4	0.324	15972.98488	0.0142533	0
Licania_heteromorpha	115.5162658	0.014595077	0.000396667	0.776057273	0.44073	47.58	0.326	2616.7	0.0038873	0
Licania_latistipula	89.1687652	0.017070389	0.0007095	0.7944	0.3423	48.23	0.3102	2500	0.0011338	0
Licania_majuscula	114.8816103	0.017133887	0.000451183	0.742957143	0.271	47.59	0.3397	15972.98488	0.000161946	0
Licania_membranacea	121.9432262	0.016319622	0.000388356	0.796707813	0.597	50.95	0.2835	15972.98488	0.0163589	0
Licania_micrantha	112.7030204	0.015537494	0.00037	0.7995	0.45518	46.93	0.3322	2500	0.0011338	0
Licania_minutiflora	96.91489587	0.014251801	0.0004467	0.7798	0.51111	52.04	0.2786	15972.98488	0.0038873	0
Licania_ovalifolia	180.1243171	0.014308063	0.00035308	0.7979125	0.54636	48.56	0.3154	2500	0.000809848	0
Manilkara_bidentata	133.9361833	0.015378494	0.00047956	0.755320909	0.90656	51.75	0.2827	932.6666667	0.00793654	0
Manilkara_huberi	193.5254736	0.014958112	0.00049252	0.74892	1.00914	49.64	0.3127	500	0.00761259	0
Melicoccus_pedicellaris	63.79424314	0.028796669	0.0005702	0.82176875	0.2348	50.87	0.2954	2940.041667	0.000971794	0
Micropholis_cayennensis	157.8769606	0.015036499	0.000387945	0.62678875	0.83472	50.95	0.2968	345.7916667	0.00599289	0
Micropholis_egensis	110.9285098	0.017195709	0.000454825	0.596944	0.29272	48.49	0.3114	400.25	0.00323939	0
Micropholis_guyanensis	110.1295922	0.021451526	0.000485869	0.637643125	0.7397	48.83	0.3081	358.25	0.0038873	0
Micropholis_longipedicellata	66.48053138	0.015823068	0.0004256	0.576523333	0.1833	48.26	0.3162	345.7916667	0.000323951	0
Micropholis_melinoniana	96.40522941	0.020705277	0.0006203	0.53	1.15615	55.7	0.2294	500	0.000971794	0
Micropholis_obscura	162.082499	0.013665324	0.0003604	0.69895	0.633	52.48	0.277	500	0.000161946	0
Micropholis_porphyrocarpa	107.2394582	0.016665117	0.0003448	0.6325	0.37946	50.15	0.297	345.7916667	0.00194365	0
Micropholis_sanctae-rosae	86.73826719	0.017835923	0.00042135	0.663603333	0.223	51.02	0.2863	345.7916667	0.00421119	0
Micropholis_venulosa	67.50717192	0.019770245	0.000555727	0.582936364	0.34049	48.96	0.3067	400	0.00194365	0
Minquartia_guianensis	78.23599178	0.022108792	0.0006279	0.693624461	0.74752	47.5	0.3332	1582.916667	0.00453514	0
Mouriri_crassifolia	157.2626331	0.012635648	0.0004007	0.774458889	0.28432	47.05	0.3304	50	0.000809848	0
Naucleopsis_guianensis	77.71246016	0.020484777	0.0007229	0.563105	0.3788	50.08	0.3004	405.2013889	0.000971794	0
Ocotea_argyrophylla	121.9778022	0.021026227	0.0007364	0.431208	0.37691	52.38	0.2743	690.9968907	0.00194365	0
